pokemon_1,pokemon_2,type_eff_1_to_2,type_eff_2_to_1,stat_sum_1,stat_sum_2,score_1,score_2,winner
furret,pignite,1.0,4.0,415,418,415.0,1672.0,pignite
octillery,flygon,1.0,1.0,480,520,480.0,520.0,flygon
kricketune,seismitoad,1.0,0.5,384,509,384.0,254.5,kricketune
oddish,mothim,0.25,2.0,320,424,80.0,848.0,mothim
skarmory,kingdra,0.5,0.5,465,540,232.5,270.0,kingdra
persian,mantyke,1.0,1.0,440,345,440.0,345.0,persian
goldeen,hippowdon,2.0,1.0,320,525,640.0,525.0,goldeen
sunkern,roserade,0.5,1.0,180,515,90.0,515.0,roserade
tentacool,zebstrika,1.0,2.0,335,497,335.0,994.0,zebstrika
duskull,combee,1.0,0.5,295,244,295.0,122.0,duskull
armaldo,rotom,0.5,1.0,495,440,247.5,440.0,rotom
dwebble,durant,0.5,2.0,325,484,162.5,968.0,durant
ekans,lugia,1.0,2.0,288,680,288.0,1360.0,lugia
nosepass,pangoro,0.5,4.0,375,495,187.5,1980.0,pangoro
hitmontop,spheal,2.0,1.0,455,290,910.0,290.0,hitmontop
reuniclus,elgyem,0.5,0.5,490,335,245.0,167.5,reuniclus
feraligatr,genesect,0.5,0.5,530,600,265.0,300.0,genesect
swampert,gothorita,1.0,1.0,535,390,535.0,390.0,swampert
shroomish,deino,0.5,1.0,295,300,147.5,300.0,deino
wynaut,scatterbug,1.0,2.0,260,200,260.0,400.0,scatterbug
snover,krookodile,4.0,0.5,334,519,1336.0,259.5,snover
swampert,braixen,4.0,0.5,535,409,2140.0,204.5,swampert
slakoth,diancie,0.25,1.0,280,600,70.0,600.0,diancie
cubone,kirlia,1.0,1.0,320,278,320.0,278.0,cubone
geodude,gastly,2.0,0.25,300,310,600.0,77.5,geodude
pachirisu,drifblim,0.0,0.0,405,498,0.0,0.0,drifblim
mantine,wailmer,0.5,0.5,465,400,232.5,200.0,mantine
ledian,trapinch,1.0,0.0,390,290,390.0,0.0,ledian
exeggcute,tepig,0.5,2.0,325,308,162.5,616.0,tepig
aipom,haxorus,1.0,1.0,360,540,360.0,540.0,haxorus
feraligatr,shinx,1.0,2.0,530,263,530.0,526.0,feraligatr
mismagius,swirlix,0.0,0.0,495,341,0.0,0.0,swirlix
xatu,krokorok,0.0,0.0,470,351,0.0,0.0,krokorok
amoonguss,rufflet,0.5,2.0,464,350,232.0,700.0,rufflet
kecleon,abomasnow,1.0,1.0,440,494,440.0,494.0,abomasnow
horsea,flareon,2.0,0.5,295,525,590.0,262.5,horsea
togepi,fennekin,0.5,1.0,245,307,122.5,307.0,fennekin
empoleon,klink,0.5,0.125,530,300,265.0,37.5,empoleon
ninjask,sewaddle,8.0,0.125,456,310,3648.0,38.75,ninjask
bellossom,dusknoir,0.0,0.0,490,525,0.0,0.0,dusknoir
miltank,axew,1.0,1.0,490,320,490.0,320.0,miltank
quagsire,bunnelby,1.0,1.0,430,237,430.0,237.0,quagsire
electabuzz,drifloon,0.0,0.0,490,348,0.0,0.0,drifloon
hitmontop,probopass,1.0,0.5,455,525,455.0,262.5,hitmontop
monferno,petilil,4.0,0.5,405,280,1620.0,140.0,monferno
aurorus,avalugg,2.0,0.5,521,514,1042.0,257.0,aurorus
piloswine,goodra,2.0,1.0,450,600,900.0,600.0,piloswine
ariados,sceptile,4.0,0.5,390,530,1560.0,265.0,ariados
machamp,ferroseed,1.0,1.0,505,305,505.0,305.0,machamp
gyarados,sceptile,1.0,1.0,540,530,540.0,530.0,gyarados
makuhita,gabite,1.0,1.0,237,410,237.0,410.0,gabite
gyarados,kyurem,0.5,1.0,540,660,270.0,660.0,kyurem
ekans,gligar,0.5,2.0,288,430,144.0,860.0,gligar
ponyta,tynamo,1.0,1.0,410,275,410.0,275.0,ponyta
medicham,hippopotas,2.0,1.0,410,330,820.0,330.0,medicham
ludicolo,sylveon,1.0,1.0,480,525,480.0,525.0,sylveon
boldore,cryogonal,2.0,0.5,390,485,780.0,242.5,boldore
butterfree,solrock,1.0,4.0,395,440,395.0,1760.0,solrock
ho-oh,lilligant,4.0,0.25,680,480,2720.0,120.0,ho-oh
lanturn,shiftry,0.25,2.0,460,480,115.0,960.0,shiftry
rattata,phanpy,1.0,1.0,253,330,253.0,330.0,phanpy
regigigas,florges,1.0,1.0,670,552,670.0,552.0,regigigas
marshtomp,feebas,0.5,1.0,405,200,202.5,200.0,marshtomp
nidorino,stunfisk,0.5,2.0,365,471,182.5,942.0,stunfisk
cradily,sandile,1.0,1.0,495,292,495.0,292.0,cradily
luxray,mandibuzz,2.0,0.5,523,510,1046.0,255.0,luxray
charmander,pawniard,1.0,0.5,309,340,309.0,170.0,charmander
marill,dustox,0.5,1.0,250,385,125.0,385.0,dustox
bronzor,aromatisse,2.0,0.25,300,462,600.0,115.5,bronzor
marill,donphan,2.0,1.0,250,500,500.0,500.0,donphan
registeel,bunnelby,1.0,0.25,580,237,580.0,59.25,registeel
slowbro,aromatisse,1.0,1.0,490,462,490.0,462.0,slowbro
rattata,spewpa,1.0,1.0,253,213,253.0,213.0,rattata
arcanine,abra,1.0,1.0,555,310,555.0,310.0,arcanine
beartic,bunnelby,1.0,1.0,485,237,485.0,237.0,beartic
bellsprout,magnemite,0.0,0.5,300,325,0.0,162.5,magnemite
frillish,bunnelby,0.0,0.0,335,237,0.0,0.0,bunnelby
slugma,poochyena,1.0,1.0,250,220,250.0,220.0,slugma
gigalith,klinklang,0.25,1.0,515,520,128.75,520.0,klinklang
cradily,gothitelle,1.0,0.5,495,490,495.0,245.0,cradily
voltorb,girafarig,1.0,1.0,330,455,330.0,455.0,girafarig
heracross,shellos,2.0,1.0,500,325,1000.0,325.0,heracross
muk,magmortar,1.0,1.0,500,540,500.0,540.0,magmortar
emolga,cubchoo,1.0,2.0,428,305,428.0,610.0,cubchoo
teddiursa,carvanha,1.0,1.0,330,305,330.0,305.0,teddiursa
kadabra,palpitoad,1.0,1.0,400,384,400.0,384.0,kadabra
rotom,greninja,1.0,2.0,440,530,440.0,1060.0,greninja
gigalith,ducklett,2.0,1.0,515,305,1030.0,305.0,gigalith
shelgon,cottonee,0.0,1.0,420,280,0.0,280.0,cottonee
lickitung,torterra,1.0,1.0,385,525,385.0,525.0,torterra
seedot,haxorus,0.5,1.0,220,540,110.0,540.0,haxorus
wartortle,haunter,0.0,0.0,405,405,0.0,0.0,haunter
haunter,fraxure,0.0,0.0,405,410,0.0,0.0,fraxure
electabuzz,porygon2,1.0,1.0,490,515,490.0,515.0,porygon2
bidoof,rhyperior,0.25,1.0,250,535,62.5,535.0,rhyperior
golem,mesprit,1.0,0.5,495,580,495.0,290.0,golem
dewott,volcarona,2.0,0.5,413,550,826.0,275.0,dewott
surskit,scraggy,1.0,0.5,269,348,269.0,174.0,surskit
ursaring,walrein,1.0,1.0,500,530,500.0,530.0,walrein
swampert,floatzel,0.5,1.0,535,495,267.5,495.0,floatzel
greninja,floette,0.5,2.0,530,371,265.0,742.0,floette
bellsprout,tyrunt,0.5,1.0,300,362,150.0,362.0,tyrunt
feebas,talonflame,2.0,0.5,200,499,400.0,249.5,feebas
dewgong,ampharos,1.0,2.0,475,510,475.0,1020.0,ampharos
kabuto,espurr,1.0,0.5,355,355,355.0,177.5,kabuto
dewott,amoonguss,0.5,2.0,413,464,206.5,928.0,amoonguss
mantyke,gothitelle,1.0,1.0,345,490,345.0,490.0,gothitelle
lileep,foongus,0.5,1.0,355,294,177.5,294.0,foongus
wailmer,escavalier,0.5,0.5,400,495,200.0,247.5,escavalier
magneton,kabuto,2.0,0.5,465,355,930.0,177.5,magneton
altaria,clamperl,1.0,0.5,490,345,490.0,172.5,altaria
taillow,absol,1.0,1.0,270,465,270.0,465.0,absol
dewgong,larvesta,1.0,1.0,475,360,475.0,360.0,dewgong
scyther,noivern,0.5,2.0,500,535,250.0,1070.0,noivern
banette,staravia,0.0,0.0,455,340,0.0,0.0,staravia
metapod,nidorino,0.5,1.0,205,365,102.5,365.0,nidorino
nidoqueen,crawdaunt,1.0,2.0,505,468,505.0,936.0,crawdaunt
castform,gabite,1.0,1.0,420,410,420.0,410.0,castform
nosepass,happiny,1.0,0.25,375,220,375.0,55.0,nosepass
breloom,cofagrigus,0.0,1.0,460,483,0.0,483.0,cofagrigus
marowak,medicham,1.0,2.0,425,410,425.0,820.0,medicham
rapidash,mandibuzz,1.0,1.0,500,510,500.0,510.0,mandibuzz
noctowl,luxray,0.5,2.0,442,523,221.0,1046.0,luxray
machamp,tropius,0.5,2.0,505,460,252.5,920.0,tropius
murkrow,latios,2.0,0.0,405,600,810.0,0.0,murkrow
ivysaur,totodile,2.0,0.5,405,314,810.0,157.0,ivysaur
omanyte,crawdaunt,0.5,1.0,355,468,177.5,468.0,crawdaunt
pidove,maractus,2.0,0.5,264,461,528.0,230.5,pidove
golduck,rhyhorn,2.0,1.0,500,345,1000.0,345.0,golduck
roselia,groudon,1.0,1.0,400,670,400.0,670.0,groudon
alakazam,petilil,1.0,1.0,500,280,500.0,280.0,alakazam
moltres,magby,0.5,0.5,580,365,290.0,182.5,moltres
blastoise,cacnea,0.5,2.0,530,335,265.0,670.0,cacnea
metang,gothitelle,0.5,0.125,420,490,210.0,61.25,metang
typhlosion,seedot,2.0,0.5,534,220,1068.0,110.0,typhlosion
fearow,gorebyss,1.0,1.0,442,485,442.0,485.0,gorebyss
frillish,floette,0.0,0.0,335,371,0.0,0.0,floette
dragonite,tropius,2.0,0.25,600,460,1200.0,115.0,dragonite
tyranitar,zweilous,0.5,0.5,600,420,300.0,210.0,tyranitar
typhlosion,larvitar,0.25,4.0,534,300,133.5,1200.0,larvitar
raikou,purrloin,1.0,1.0,580,281,580.0,281.0,raikou
togepi,frillish,0.0,0.0,245,335,0.0,0.0,frillish
oddish,weezing,0.5,1.0,320,490,160.0,490.0,weezing
bulbasaur,cloyster,2.0,1.0,318,525,636.0,525.0,bulbasaur
electivire,golett,0.0,0.0,540,303,0.0,0.0,golett
cranidos,braviary,2.0,0.25,350,510,700.0,127.5,cranidos
emboar,panpour,1.0,2.0,528,316,528.0,632.0,panpour
blaziken,mudkip,1.0,2.0,530,310,530.0,620.0,mudkip
ponyta,aurorus,0.5,1.0,410,521,205.0,521.0,aurorus
hoothoot,spinarak,2.0,0.5,262,250,524.0,125.0,hoothoot
spearow,nidoqueen,1.0,0.0,262,505,262.0,0.0,spearow
tyrogue,huntail,2.0,1.0,210,485,420.0,485.0,huntail
quilava,togetic,1.0,0.5,405,405,405.0,202.5,quilava
cubchoo,florges,1.0,1.0,305,552,305.0,552.0,florges
pidgeotto,emolga,0.5,2.0,349,428,174.5,856.0,emolga
bidoof,gallade,1.0,4.0,250,518,250.0,2072.0,gallade
kabuto,mewtwo,1.0,0.5,355,680,355.0,340.0,kabuto
mantine,taillow,1.0,1.0,465,270,465.0,270.0,mantine
poliwhirl,hitmontop,1.0,2.0,385,455,385.0,910.0,hitmontop
clefable,drapion,1.0,1.0,483,500,483.0,500.0,drapion
drilbur,skiddo,0.5,2.0,328,350,164.0,700.0,skiddo
staravia,terrakion,0.5,2.0,340,580,170.0,1160.0,terrakion
sudowoodo,mandibuzz,2.0,0.5,410,510,820.0,255.0,sudowoodo
golbat,groudon,0.5,0.0,455,670,227.5,0.0,golbat
zubat,lopunny,1.0,1.0,245,480,245.0,480.0,lopunny
mareep,emboar,1.0,2.0,280,528,280.0,1056.0,emboar
buizel,herdier,1.0,1.0,330,370,330.0,370.0,herdier
sawk,sewaddle,0.5,0.5,465,310,232.5,155.0,sawk
liepard,vanilluxe,1.0,1.0,446,535,446.0,535.0,vanilluxe
kakuna,fletchinder,0.25,4.0,205,382,51.25,1528.0,fletchinder
durant,pyroar,0.25,2.0,484,507,121.0,1014.0,pyroar
drapion,volcarona,1.0,1.0,500,550,500.0,550.0,volcarona
tentacruel,togetic,2.0,0.5,515,405,1030.0,202.5,tentacruel
omanyte,haxorus,0.5,0.5,355,540,177.5,270.0,haxorus
ekans,slugma,1.0,1.0,288,250,288.0,250.0,ekans
sandslash,magneton,2.0,0.0,450,465,900.0,0.0,sandslash
onix,tyrogue,0.5,1.0,385,210,192.5,210.0,tyrogue
porygon2,froakie,1.0,1.0,515,314,515.0,314.0,porygon2
grovyle,magmortar,0.5,2.0,405,540,202.5,1080.0,magmortar
blissey,flygon,1.0,1.0,540,520,540.0,520.0,blissey
grotle,genesect,0.125,2.0,405,600,50.625,1200.0,genesect
ursaring,munchlax,1.0,1.0,500,390,500.0,390.0,ursaring
poochyena,probopass,0.25,1.0,220,525,55.0,525.0,probopass
magnemite,talonflame,1.0,0.5,325,499,325.0,249.5,magnemite
lileep,empoleon,0.5,2.0,355,530,177.5,1060.0,empoleon
kecleon,conkeldurr,1.0,4.0,440,505,440.0,2020.0,conkeldurr
weavile,simisage,2.0,1.0,510,498,1020.0,498.0,weavile
starmie,qwilfish,1.0,0.5,520,430,520.0,215.0,starmie
delibird,avalugg,1.0,2.0,330,514,330.0,1028.0,avalugg
gengar,chikorita,0.0,0.0,500,318,0.0,0.0,chikorita
dragonite,ledian,2.0,0.5,600,390,1200.0,195.0,dragonite
krokorok,skiddo,0.5,2.0,351,350,175.5,700.0,skiddo
kabutops,diancie,2.0,1.0,495,600,990.0,600.0,kabutops
ivysaur,alomomola,2.0,0.5,405,470,810.0,235.0,ivysaur
whiscash,fennekin,4.0,0.5,468,307,1872.0,153.5,whiscash
crawdaunt,petilil,0.5,2.0,468,280,234.0,560.0,petilil
hitmonchan,smoochum,1.0,2.0,455,305,455.0,610.0,smoochum
pachirisu,riolu,1.0,2.0,405,285,405.0,570.0,riolu
masquerain,krokorok,2.0,0.0,414,351,828.0,0.0,masquerain
gengar,swablu,0.0,0.0,500,310,0.0,0.0,swablu
slowpoke,omanyte,1.0,0.5,315,355,315.0,177.5,slowpoke
zigzagoon,diggersby,1.0,1.0,240,423,240.0,423.0,diggersby
clamperl,probopass,0.5,0.5,345,525,172.5,262.5,probopass
shinx,stoutland,1.0,1.0,263,500,263.0,500.0,stoutland
koffing,cleffa,2.0,0.5,340,218,680.0,109.0,koffing
wynaut,tepig,1.0,1.0,260,308,260.0,308.0,tepig
shellder,swellow,1.0,1.0,305,430,305.0,430.0,swellow
muk,sandile,0.5,2.0,500,292,250.0,584.0,sandile
slowpoke,sylveon,1.0,1.0,315,525,315.0,525.0,sylveon
kyurem,spewpa,1.0,1.0,660,213,660.0,213.0,kyurem
ekans,burmy,1.0,0.5,288,224,288.0,112.0,ekans
togetic,snover,2.0,1.0,405,334,810.0,334.0,togetic
mankey,litwick,0.0,0.0,305,275,0.0,0.0,litwick
espeon,gliscor,1.0,1.0,525,510,525.0,510.0,espeon
steelix,tynamo,1.0,0.0,510,275,510.0,0.0,steelix
golem,shelmet,1.0,0.5,495,305,495.0,152.5,golem
magby,talonflame,0.5,0.5,365,499,182.5,249.5,talonflame
kabutops,goomy,0.5,0.5,495,300,247.5,150.0,kabutops
kadabra,sewaddle,1.0,2.0,400,310,400.0,620.0,sewaddle
patrat,barbaracle,0.25,1.0,255,500,63.75,500.0,barbaracle
electrode,piplup,2.0,1.0,480,314,960.0,314.0,electrode
onix,regice,2.0,1.0,385,580,770.0,580.0,onix
skiploom,swalot,1.0,2.0,340,467,340.0,934.0,swalot
skiploom,jumpluff,0.5,0.5,340,460,170.0,230.0,jumpluff
ho-oh,cascoon,4.0,0.25,680,205,2720.0,51.25,ho-oh
nidoqueen,herdier,1.0,1.0,505,370,505.0,370.0,nidoqueen
gastly,ducklett,1.0,1.0,310,305,310.0,305.0,gastly
bastiodon,helioptile,0.5,0.25,495,289,247.5,72.25,bastiodon
swalot,honedge,0.0,0.0,467,325,0.0,0.0,honedge
voltorb,blitzle,0.5,0.5,330,295,165.0,147.5,voltorb
mudkip,grumpig,1.0,1.0,310,470,310.0,470.0,grumpig
whiscash,walrein,0.5,1.0,468,530,234.0,530.0,walrein
magneton,liepard,1.0,0.5,465,446,465.0,223.0,magneton
surskit,tropius,0.5,2.0,269,460,134.5,920.0,tropius
marshtomp,crustle,2.0,0.5,405,475,810.0,237.5,marshtomp
sceptile,froakie,2.0,0.5,530,314,1060.0,157.0,sceptile
dwebble,eelektross,1.0,0.5,325,515,325.0,257.5,dwebble
jigglypuff,duskull,0.0,0.0,270,295,0.0,0.0,duskull
omastar,luvdisc,0.5,0.5,495,330,247.5,165.0,omastar
tangela,watchog,1.0,1.0,435,420,435.0,420.0,tangela
seedot,dragalge,0.5,2.0,220,494,110.0,988.0,dragalge
hippowdon,darkrai,1.0,1.0,525,600,525.0,600.0,darkrai
drifblim,mismagius,0.0,0.0,498,495,0.0,0.0,mismagius
grumpig,magmortar,1.0,1.0,470,540,470.0,540.0,magmortar
cubone,palpitoad,1.0,2.0,320,384,320.0,768.0,palpitoad
magby,krokorok,1.0,2.0,365,351,365.0,702.0,krokorok
golduck,cofagrigus,0.0,0.0,500,483,0.0,0.0,cofagrigus
druddigon,honedge,0.0,0.0,485,325,0.0,0.0,honedge
wartortle,stantler,1.0,1.0,405,465,405.0,465.0,stantler
carnivine,galvantula,0.5,1.0,454,472,227.0,472.0,galvantula
shedinja,clauncher,0.0,0.0,236,330,0.0,0.0,clauncher
gastly,shelgon,0.0,0.0,310,420,0.0,0.0,shelgon
milotic,emolga,1.0,2.0,540,428,540.0,856.0,emolga
magmar,skuntank,1.0,1.0,495,479,495.0,479.0,magmar
metang,heatran,0.125,1.0,420,600,52.5,600.0,heatran
psyduck,cranidos,1.0,1.0,320,350,320.0,350.0,cranidos
lickitung,yamask,0.0,0.0,385,303,0.0,0.0,yamask
psyduck,gulpin,1.0,1.0,320,302,320.0,302.0,psyduck
makuhita,scatterbug,1.0,0.5,237,200,237.0,100.0,makuhita
omanyte,archen,4.0,0.5,355,401,1420.0,200.5,omanyte
nidoqueen,slowking,1.0,4.0,505,490,505.0,1960.0,slowking
paras,camerupt,0.5,1.0,285,460,142.5,460.0,camerupt
nidoqueen,snubbull,2.0,0.5,505,300,1010.0,150.0,nidoqueen
whirlipede,galvantula,1.0,0.5,360,472,360.0,236.0,whirlipede
geodude,hoothoot,0.0,0.25,300,262,0.0,65.5,hoothoot
durant,deino,2.0,0.5,484,300,968.0,150.0,durant
charizard,shellder,0.5,2.0,534,305,267.0,610.0,shellder
omanyte,sliggoo,0.5,0.5,355,452,177.5,226.0,sliggoo
weedle,haunter,0.0625,0.5,195,405,12.1875,202.5,haunter
smeargle,mamoswine,1.0,1.0,250,530,250.0,530.0,mamoswine
porygon,carvanha,1.0,1.0,395,305,395.0,305.0,porygon
wigglytuff,tranquill,1.0,1.0,435,358,435.0,358.0,wigglytuff
golem,chikorita,0.5,2.0,495,318,247.5,636.0,chikorita
finneon,phione,0.5,0.5,330,480,165.0,240.0,phione
machamp,medicham,0.5,4.0,505,410,252.5,1640.0,medicham
nidorina,sunkern,2.0,1.0,365,180,730.0,180.0,nidorina
wartortle,miltank,1.0,1.0,405,490,405.0,490.0,miltank
lairon,floette,2.0,0.125,430,371,860.0,46.375,lairon
phanpy,trubbish,2.0,0.5,330,329,660.0,164.5,phanpy
metapod,fletchinder,0.25,4.0,205,382,51.25,1528.0,fletchinder
staryu,tyrogue,1.0,2.0,340,210,340.0,420.0,tyrogue
omastar,litwick,4.0,0.25,495,275,1980.0,68.75,omastar
accelgor,volcanion,0.5,2.0,495,600,247.5,1200.0,volcanion
magneton,hawlucha,2.0,0.5,465,500,930.0,250.0,magneton
heatmor,volcanion,0.25,1.0,484,600,121.0,600.0,volcanion
metapod,herdier,1.0,1.0,205,370,205.0,370.0,herdier
pignite,scraggy,2.0,0.5,418,348,836.0,174.0,pignite
kabutops,dusclops,1.0,0.5,495,455,495.0,227.5,kabutops
golduck,bibarel,0.5,0.5,500,410,250.0,205.0,golduck
torchic,shuppet,0.0,0.0,310,295,0.0,0.0,shuppet
unown,poochyena,0.0,2.0,336,220,0.0,440.0,poochyena
volbeat,greninja,2.0,1.0,400,530,800.0,530.0,volbeat
silcoon,pawniard,0.5,1.0,205,340,102.5,340.0,pawniard
meditite,diggersby,2.0,1.0,280,423,560.0,423.0,meditite
mantine,klang,0.5,0.5,465,440,232.5,220.0,mantine
blissey,budew,1.0,1.0,540,280,540.0,280.0,blissey
exeggcute,eevee,1.0,1.0,325,325,325.0,325.0,eevee
cottonee,xerneas,1.0,1.0,280,680,280.0,680.0,xerneas
geodude,vigoroth,1.0,0.25,300,440,300.0,110.0,geodude
yanma,delibird,0.5,4.0,390,330,195.0,1320.0,delibird
shinx,gurdurr,1.0,2.0,263,405,263.0,810.0,gurdurr
combee,munchlax,1.0,1.0,244,390,244.0,390.0,munchlax
bulbasaur,electrode,1.0,0.5,318,480,318.0,240.0,bulbasaur
chimecho,samurott,1.0,1.0,425,528,425.0,528.0,samurott
grimer,illumise,1.0,0.5,325,400,325.0,200.0,grimer
seaking,garbodor,1.0,1.0,450,474,450.0,474.0,garbodor
bastiodon,heatmor,1.0,0.25,495,484,495.0,121.0,bastiodon
crobat,simipour,1.0,1.0,535,498,535.0,498.0,crobat
igglybuff,drifblim,0.0,0.0,210,498,0.0,0.0,drifblim
karrablast,amaura,0.5,2.0,315,362,157.5,724.0,amaura
weedle,clefairy,1.0,0.5,195,323,195.0,161.5,weedle
meowth,victini,1.0,1.0,290,600,290.0,600.0,victini
cubone,cherrim,0.5,2.0,320,450,160.0,900.0,cherrim
zoroark,sliggoo,1.0,1.0,510,452,510.0,452.0,zoroark
arbok,rapidash,1.0,1.0,438,500,438.0,500.0,rapidash
muk,suicune,1.0,1.0,500,580,500.0,580.0,suicune
kirlia,cobalion,1.0,0.5,278,580,278.0,290.0,cobalion
roserade,yamask,0.5,1.0,515,303,257.5,303.0,yamask
snivy,carracosta,2.0,0.5,308,495,616.0,247.5,snivy
nidoqueen,zoroark,1.0,1.0,505,510,505.0,510.0,zoroark
hypno,whirlipede,2.0,2.0,483,360,966.0,720.0,hypno
venomoth,seviper,0.25,0.5,450,458,112.5,229.0,seviper
machop,regigigas,4.0,1.0,305,670,1220.0,670.0,machop
krabby,carracosta,0.5,0.5,325,495,162.5,247.5,carracosta
plusle,foongus,0.5,1.0,405,294,202.5,294.0,foongus
swoobat,sliggoo,1.0,1.0,425,452,425.0,452.0,sliggoo
delibird,cofagrigus,1.0,1.0,330,483,330.0,483.0,cofagrigus
aron,spiritomb,1.0,1.0,330,485,330.0,485.0,spiritomb
croconaw,chespin,0.5,2.0,405,313,202.5,626.0,chespin
tangela,delphox,0.5,2.0,435,534,217.5,1068.0,delphox
torchic,archeops,0.25,2.0,310,567,77.5,1134.0,archeops
gothitelle,druddigon,1.0,1.0,490,485,490.0,485.0,gothitelle
porygon,swadloon,1.0,1.0,395,380,395.0,380.0,porygon
kingler,quilava,2.0,0.5,475,405,950.0,202.5,kingler
venusaur,gogoat,1.0,0.5,525,531,525.0,265.5,venusaur
delphox,goodra,0.5,1.0,534,600,267.0,600.0,goodra
vigoroth,eelektrik,1.0,1.0,440,405,440.0,405.0,vigoroth
abra,weezing,2.0,1.0,310,490,620.0,490.0,abra
delibird,beheeyem,1.0,1.0,330,485,330.0,485.0,beheeyem
porygon,cryogonal,1.0,1.0,395,485,395.0,485.0,cryogonal
swampert,yamask,1.0,1.0,535,303,535.0,303.0,swampert
kabuto,magmortar,4.0,0.125,355,540,1420.0,67.5,kabuto
marshtomp,klefki,2.0,0.5,405,470,810.0,235.0,marshtomp
sceptile,gurdurr,1.0,2.0,530,405,530.0,810.0,gurdurr
spheal,virizion,1.0,4.0,290,580,290.0,2320.0,virizion
scyther,whimsicott,2.0,0.25,500,480,1000.0,120.0,scyther
makuhita,drifloon,0.0,0.0,237,348,0.0,0.0,drifloon
pidgeotto,horsea,1.0,1.0,349,295,349.0,295.0,pidgeotto
hoppip,escavalier,0.25,1.0,250,495,62.5,495.0,escavalier
clefairy,mew,1.0,1.0,323,600,323.0,600.0,mew
murkrow,vullaby,0.5,0.5,405,370,202.5,185.0,murkrow
tauros,suicune,1.0,1.0,490,580,490.0,580.0,suicune
seaking,dragonair,0.5,1.0,450,420,225.0,420.0,dragonair
omanyte,taillow,2.0,0.25,355,270,710.0,67.5,omanyte
growlithe,deerling,2.0,0.5,350,335,700.0,167.5,growlithe
sableye,talonflame,1.0,1.0,380,499,380.0,499.0,talonflame
nidoking,goldeen,1.0,2.0,505,320,505.0,640.0,goldeen
remoraid,shellos,0.5,0.5,300,325,150.0,162.5,shellos
patrat,druddigon,1.0,1.0,255,485,255.0,485.0,druddigon
pikachu,cradily,0.25,1.0,320,495,80.0,495.0,cradily
feebas,delphox,2.0,0.5,200,534,400.0,267.0,feebas
torchic,vibrava,0.5,2.0,310,340,155.0,680.0,vibrava
xatu,grotle,2.0,0.5,470,405,940.0,202.5,xatu
remoraid,cobalion,0.5,1.0,300,580,150.0,580.0,cobalion
lombre,delcatty,1.0,1.0,340,380,340.0,380.0,delcatty
beheeyem,larvesta,1.0,2.0,485,360,485.0,720.0,larvesta
bellossom,piloswine,2.0,1.0,490,450,980.0,450.0,bellossom
buizel,emboar,2.0,1.0,330,528,660.0,528.0,buizel
golbat,servine,4.0,0.5,455,413,1820.0,206.5,golbat
escavalier,klang,0.25,0.25,495,440,123.75,110.0,escavalier
stunky,unfezant,1.0,1.0,329,488,329.0,488.0,unfezant
crobat,zorua,1.0,1.0,535,330,535.0,330.0,crobat
quilava,gigalith,0.25,2.0,405,515,101.25,1030.0,gigalith
krabby,mantine,0.5,0.5,325,465,162.5,232.5,mantine
hypno,hitmontop,2.0,1.0,483,455,966.0,455.0,hypno
fennekin,goodra,0.5,1.0,307,600,153.5,600.0,goodra
seedot,panpour,2.0,0.5,220,316,440.0,158.0,seedot
rhydon,dialga,1.0,2.0,485,680,485.0,1360.0,dialga
kyogre,sandile,2.0,1.0,670,292,1340.0,292.0,kyogre
bulbasaur,magikarp,2.0,0.5,318,200,636.0,100.0,bulbasaur
snover,rufflet,1.0,2.0,334,350,334.0,700.0,rufflet
glalie,chandelure,0.0,0.0,480,520,0.0,0.0,chandelure
ponyta,venipede,2.0,0.5,410,260,820.0,130.0,ponyta
combusken,simisage,4.0,0.5,405,498,1620.0,249.0,combusken
gligar,staraptor,0.0,1.0,430,485,0.0,485.0,staraptor
swinub,ferrothorn,1.0,4.0,250,489,250.0,1956.0,ferrothorn
starly,toxicroak,2.0,1.0,245,490,490.0,490.0,toxicroak
cubone,sewaddle,0.25,2.0,320,310,80.0,620.0,sewaddle
psyduck,carbink,1.0,1.0,320,500,320.0,500.0,carbink
lombre,noivern,0.125,2.0,340,535,42.5,1070.0,noivern
sunflora,nincada,1.0,1.0,425,266,425.0,266.0,sunflora
scizor,manectric,0.5,0.5,500,475,250.0,237.5,scizor
alakazam,lopunny,1.0,1.0,500,480,500.0,480.0,alakazam
scizor,palpitoad,0.5,1.0,500,384,250.0,384.0,palpitoad
furret,barboach,1.0,1.0,415,288,415.0,288.0,furret
parasect,feebas,2.0,0.5,405,200,810.0,100.0,parasect
machoke,whirlipede,0.25,0.5,405,360,101.25,180.0,whirlipede
scolipede,galvantula,1.0,0.5,485,472,485.0,236.0,scolipede
lanturn,lunatone,2.0,1.0,460,440,920.0,440.0,lanturn
magby,whiscash,0.5,4.0,365,468,182.5,1872.0,whiscash
zangoose,roserade,1.0,1.0,458,515,458.0,515.0,roserade
vulpix,ducklett,0.5,2.0,299,305,149.5,610.0,ducklett
gabite,rhyperior,2.0,0.5,410,535,820.0,267.5,gabite
slowbro,pancham,2.0,0.5,490,348,980.0,174.0,slowbro
buneary,tyrantrum,0.25,1.0,350,521,87.5,521.0,tyrantrum
beldum,sigilyph,0.5,0.125,300,490,150.0,61.25,beldum
nidorino,amoonguss,1.0,0.5,365,464,365.0,232.0,nidorino
